PseudorangeRateMetersPerSecond,t_k,delT_sv,x_k,y_k,z_k
523.4892578125,301.5116633900034,-0.0006227361207306808,18788148.426437363,21952634.44356142,-6436789.02421133
-184.298583984375,1501.5176457350026,-0.00022340767522917285,21898347.176891297,2350046.2757209633,19781830.446584094
354.3798522949219,1501.5280718330177,-0.000440882691901284,22723591.72939511,13959688.168225663,2052332.454946511
-116.43248748779295,1501.5301490510174,0.0003495642537597325,12849055.42877992,8970702.029406164,21314293.772942893
-78.47721862792969,1501.530441097013,0.00035517220098656935,21733452.24661561,3615833.478122309,14948703.908130812
-666.5101928710938,1501.5144538970198,0.0002865937605717505,4774237.741112384,-14619582.845141783,21698584.772661693
-426.90423583984375,1501.5228574009961,0.0001866002984697072,25265053.492233768,-7269998.7593965735,3896088.671803041
-430.7557373046875,1501.513351221016,-0.0002985058697335961,1694500.92287568,24065926.927355785,-10918067.784336986
123.36055755615234,1501.5198789169954,0.0007082824293509702,21142545.05354461,-13386590.140972022,9554091.79725308
-104.62995147705078,1501.5188740309968,0.00047834135095683073,13787928.19562522,-15257106.007207245,16408243.025361558
469.7734680175781,1501.524845050997,0.00012317022072138353,20953708.928065035,16838304.457225822,-3081332.419406667
-298.4328308105469,1501.5170257069985,0.00015670405891602296,-4209358.830921037,25863437.472170357,2722042.61709092
576.1597900390625,1517.5174806290015,-0.00023282592570089838,-7054727.259673347,13641916.590233773,21657073.468344178
339.50750732421875,1501.5257148579985,-0.00022790098256268972,2888360.552477994,19121233.56969569,17817359.158148948
